Domain,Component,Value,CI_low,CI_high,Repeatable,Error,mBi
FA_TOT,Obj,0.3686245687797058,0.3278548489839633,0.3278548489839633,0.8474829896180355,0.15251701038196452,0.5492568480904579
FA_TOT,Sub,0.23763569064800255,0.2515994051588972,0.2515994051588972,0.8474829896180355,0.15251701038196452,0.5492568480904579
FA_TOT,Block,4.985873738061734e-4,3.648890371125862e-4,3.648890371125862e-4,0.8474829896180355,0.15251701038196452,0.5492568480904579
FA_TOT,SubXObj,0.22314128525406318,0.2385585283546803,0.2385585283546803,0.8474829896180355,0.15251701038196452,0.5492568480904579
FA_TOT,SubXBlock,0.004708859785814687,0.005241974794633717,0.005241974794633717,0.8474829896180355,0.15251701038196452,0.5492568480904579
FA_TOT,ObjxBlock,0.013372585150449267,0.012083539090341398,0.012083539090341398,0.8474829896180355,0.15251701038196452,0.5492568480904579
FA_TOT,Residual,0.15201842300815843,0.1642968145803715,0.1642968145803715,0.8474829896180355,0.15251701038196452,0.5492568480904579
SC,Obj,0.5654216398054748,0.589889811477858,0.589889811477858,0.928199878538838,0.07180012146116199,0.3874980935981289
SC,Sub,0.11832563645465581,0.10703373799038615,0.10703373799038615,0.928199878538838,0.07180012146116199,0.3874980935981289
SC,Block,4.734541132263926e-4,7.310306531772224e-4,7.310306531772224e-4,0.928199878538838,0.07180012146116199,0.3874980935981289
SC,SubXObj,0.23729838114813107,0.22786491955582172,0.22786491955582172,0.928199878538838,0.07180012146116199,0.3874980935981289
SC,SubXBlock,0.004051665809027634,0.004242018411773022,0.004242018411773022,0.928199878538838,0.07180012146116199,0.3874980935981289
SC,ObjxBlock,0.0031025553215487476,0.0032752192560472097,0.0032752192560472097,0.928199878538838,0.07180012146116199,0.3874980935981289
SC,Residual,0.07132666734793558,0.06696326265493666,0.06696326265493666,0.928199878538838,0.07180012146116199,0.3874980935981289
AO,Obj,0.16926212179260322,0.16817661936630784,0.16817661936630784,0.8619879974984573,0.13801200250154266,0.7961407149318289
AO,Sub,0.2484494784094692,0.25869632663955383,0.25869632663955383,0.8619879974984573,0.13801200250154266,0.7961407149318289
AO,Block,0.005898821263855785,2.3520940396638217e-14,2.3520940396638217e-14,0.8619879974984573,0.13801200250154266,0.7961407149318289
AO,SubXObj,0.42426788155347234,0.42361501374345467,0.42361501374345467,0.8619879974984573,0.13801200250154266,0.7961407149318289
AO,SubXBlock,0.013546380628135901,0.013384421988013961,0.013384421988013961,0.8619879974984573,0.13801200250154266,0.7961407149318289
AO,ObjxBlock,0.006462135114776532,0.006087590908240108,0.006087590908240108,0.8619879974984573,0.13801200250154266,0.7961407149318289
AO,Residual,0.1321131812376871,0.1300400273544058,0.1300400273544058,0.8619879974984573,0.13801200250154266,0.7961407149318289
