rowname,lbound,estimate,ubound,sample,facet
VA11,0.2134,0.3207,0.431,Sutherland et al. 2020,e-b
VC11,0,0,0,Sutherland et al. 2020,e-b
VE11,0.5922,0.6847,0.795,Sutherland et al. 2020,e-b
SA11,0.2171,0.319,0.4123,Sutherland et al. 2020,e-b
SC11,0,0,0,Sutherland et al. 2020,e-b
SE11,0.5877,0.681,0.7829,Sutherland et al. 2020,e-b
VA21,0.0314,0.1099,0.1906,Sutherland et al. 2020,e-b
VA22,0.2129,0.315,0.4208,Sutherland et al. 2020,e-b
VC21,0,0,0,Sutherland et al. 2020,e-b
VC22,0,0,0,Sutherland et al. 2020,e-b
VE21,0.1932,0.2651,0.3452,Sutherland et al. 2020,e-b
VE22,0.5971,0.6868,0.793,Sutherland et al. 2020,e-b
SA21,0.088,0.2931,0.4772,Sutherland et al. 2020,e-b
SA22,0.2169,0.3144,0.4046,Sutherland et al. 2020,e-b
SC21,0,0,0,Sutherland et al. 2020,e-b
SC22,0,0,0,Sutherland et al. 2020,e-b
SE21,0.5228,0.7069,0.912,Sutherland et al. 2020,e-b
SE22,0.5954,0.6856,0.7831,Sutherland et al. 2020,e-b
